distancia_km,tempo_isquemia_max_horas,urgencia_receptor,disponibilidade_voo_comercial_bool,custo_voo_comercial_estimado,disponibilidade_voo_dedicado_bool,custo_voo_dedicado_estimado,melhor_modal
1308.0620481452083,24,2,0,0.0,0,0.0,0
1346.0019943799077,24,3,0,0.0,0,0.0,0
369.0353973156238,4,4,1,1974.0580501384125,1,19549.389000789288,2
1454.194076598742,6,5,0,0.0,0,0.0,0
927.9092678117668,6,3,0,0.0,0,0.0,0
1354.0765467876072,12,2,0,0.0,0,0.0,0
91.55260313451251,6,5,0,0.0,1,8065.833319111978,0
1690.0276279924874,48,2,1,2734.065438472655,0,0.0,1
1353.5204381174053,12,2,1,1546.0610083536385,0,0.0,1
224.50205779105875,24,2,1,4950.551656089054,0,0.0,1
754.9308050967849,4,3,1,1366.1656022412499,1,8698.730296350657,2
1384.9163212201931,4,2,0,0.0,0,0.0,0
874.4918180526214,12,5,0,0.0,0,0.0,0
1151.7450817612878,12,1,0,0.0,0,0.0,0
1871.981127020295,48,3,0,0.0,1,9740.648747234358,0
1788.2177782036072,24,4,0,0.0,1,16097.670746325748,0
528.0444500019233,48,5,0,0.0,0,0.0,0
149.103134404544,48,2,0,0.0,1,4923.039128211617,2
1205.8085185516925,4,3,0,0.0,0,0.0,0
1534.8622807734153,12,2,0,0.0,0,0.0,0
931.6466018848503,48,2,0,0.0,0,0.0,0
1494.843017586857,6,5,1,1796.021953922012,1,6215.122379276835,2
492.1089354956051,12,4,0,0.0,0,0.0,0
655.9716537521659,6,4,1,3421.0388380908744,1,15704.690020930853,2
1532.4208567239261,6,3,1,1627.056491051016,1,14142.536759609944,2
690.7204579800947,6,1,0,0.0,0,0.0,0
377.1128157445753,24,4,1,3979.3474381094725,1,9725.430048188002,0
137.62727825893072,12,2,0,0.0,0,0.0,0
451.64296877399886,4,5,1,4350.704519225073,0,0.0,1
1445.4781976591767,12,2,1,3184.231999901587,1,16055.38380843679,2
1034.894393835748,4,1,0,0.0,0,0.0,0
397.78528436026556,6,4,1,1480.3294772118284,1,10242.278827050668,2
317.7351724487526,24,3,0,0.0,1,8809.102122172015,0
763.3762231610652,6,1,1,2579.879696685557,1,18239.754855996398,2
1402.8436273371956,48,5,1,3614.985344800392,0,0.0,0
1830.1390554929749,4,4,0,0.0,0,0.0,0
1395.2217710321777,12,4,0,0.0,0,0.0,0
1747.4518539190244,4,4,0,0.0,0,0.0,0
386.9216581316565,48,3,0,0.0,1,15719.44840313987,0
1787.8023402168776,6,4,1,3207.8912547248124,0,0.0,1
390.00005885111364,12,5,0,0.0,1,6391.930842271397,0
1054.6831339893956,4,3,1,571.569415407894,0,0.0,1
469.24561326227985,24,3,1,1299.044511052477,0,0.0,0
214.89945565514898,12,4,0,0.0,0,0.0,0
669.7145005961927,24,4,1,2349.568809021607,0,0.0,0
1509.621857234472,4,4,1,4035.9555829156157,1,11721.944396430792,2
1979.712310049498,48,2,0,0.0,1,3812.732475008295,2
93.96916120487595,12,1,0,0.0,0,0.0,0
757.1992627618773,12,2,1,3753.2071422397494,0,0.0,1
1736.7864050903147,12,5,0,0.0,0,0.0,0
1518.3306613392747,6,4,0,0.0,0,0.0,0
1827.9368132500465,12,3,0,0.0,1,5208.124896747613,2
446.9863091365364,24,4,0,0.0,0,0.0,0
1594.513765531819,12,1,1,4442.210498985095,0,0.0,1
128.53632280223385,48,2,0,0.0,0,0.0,0
1245.7495515073886,48,2,1,3351.437292598519,0,0.0,1
912.6238969866711,6,3,1,3233.6335037072404,1,6941.463476229959,2
1960.0393433281474,48,5,0,0.0,1,15088.602066175008,0
899.487996225391,48,2,1,4930.508513650004,1,9966.03318822226,2
460.22225326983664,6,4,0,0.0,0,0.0,0
54.025427338471,4,5,0,0.0,1,12336.431133493794,0
861.9960991333544,24,5,0,0.0,0,0.0,0
1637.9721888327795,48,4,0,0.0,0,0.0,0
1226.635284448142,6,5,0,0.0,1,15884.29907743804,2
222.7189898182286,6,3,1,2691.2236049419134,1,4479.052984170304,2
1845.1336375664885,24,5,0,0.0,0,0.0,0
735.01077581129,6,2,0,0.0,1,11005.070107895182,2
336.7667213560479,48,1,1,2997.7236269889368,1,9829.245251749067,2
805.2591988154142,12,5,0,0.0,1,5089.219995354136,0
1989.9418689224324,4,4,0,0.0,0,0.0,0
602.8623256856459,48,4,1,4349.554452928095,0,0.0,0
1926.9743100699322,6,3,1,3255.355625992561,0,0.0,1
834.3982818299169,24,2,0,0.0,1,14078.762550693413,2
181.9901790487373,6,1,1,1468.8844550588178,1,16335.43456611206,2
1484.0800447423392,48,4,1,2573.8316274330086,1,3034.9011048159628,1
817.577409624261,48,4,0,0.0,1,14558.700064317596,0
1962.944506382299,48,2,1,1009.0117961972642,0,0.0,1
1787.261058879954,48,1,1,4463.482172928396,1,3428.953237258719,2
1741.43530879375,48,4,1,1237.442642011833,0,0.0,1
511.4998324030187,12,1,0,0.0,0,0.0,0
1621.0016775270658,12,3,0,0.0,1,14034.629363408121,2
748.0952614549159,12,5,1,4161.667567406526,0,0.0,0
1805.1099179019884,4,3,1,3265.710005764969,0,0.0,1
182.74741442540784,48,2,1,3156.518919726239,0,0.0,1
598.1476170078801,6,1,0,0.0,1,8620.573825539193,2
1859.3761481325291,12,5,1,4380.203908570625,0,0.0,1
1003.295446882935,24,2,1,1201.0033234499333,1,7709.354798386633,2
608.0730226722686,12,4,0,0.0,1,16498.341412775193,0
1526.6844610189032,24,5,0,0.0,1,6606.442704287427,0
958.530367599989,12,4,0,0.0,1,9510.498219367106,0
508.64683865108015,12,1,0,0.0,0,0.0,0
480.361379622223,12,4,0,0.0,0,0.0,0
1220.7973040324177,4,2,1,1841.2638263043698,0,0.0,1
1454.9870819243781,48,4,0,0.0,1,12153.67864527637,0
402.67106201255467,12,4,0,0.0,1,19984.4114885923,0
1213.0473137058516,6,1,1,2827.0522625645012,1,4520.53372249259,2
143.43667394760408,12,2,0,0.0,0,0.0,0
1374.641540867066,12,1,0,0.0,0,0.0,0
1357.5849460045702,24,2,1,1393.2834454178412,1,10947.210229287535,2
1291.6226239620567,24,3,1,1617.1495358030566,1,15192.073391429154,1
999.3651378042352,12,2,1,2355.477470398111,1,8317.254060682553,2
454.0436943583392,12,2,0,0.0,0,0.0,0
1059.9260707342523,6,4,0,0.0,0,0.0,0
551.5213050910129,4,5,1,2464.82126303061,0,0.0,1
366.995156439515,12,1,0,0.0,0,0.0,0
1625.7952624810894,4,4,0,0.0,1,16077.645071923394,2
322.62621861896554,48,5,0,0.0,1,8082.737896635765,0
235.75711748741557,4,5,1,1572.1016014261593,0,0.0,1
135.4943111550129,48,5,0,0.0,1,7834.090255612196,0
1141.703038745357,6,1,0,0.0,1,8088.998610885462,2
1694.2538899512097,24,5,1,3446.8115529735765,1,8275.880952611435,0
932.9981547612956,12,4,1,4287.61514602707,1,18158.145841829722,0
1167.277389467183,4,2,0,0.0,1,18912.33290636586,2
168.18541884991714,48,4,0,0.0,0,0.0,0
732.9351370450047,24,5,1,3531.9989328249285,1,15281.29100927451,0
352.3335605128272,48,1,0,0.0,0,0.0,0
708.1402635874914,24,4,1,634.1395350922851,1,15908.592394795991,1
1721.2858290752213,48,4,0,0.0,1,18559.58917021686,0
998.8589416280048,4,3,0,0.0,1,5767.374584886103,2
373.90578921196783,48,1,0,0.0,1,11732.729507595039,2
1774.1991916968173,6,4,0,0.0,1,19238.796609269513,2
1992.925979152761,48,4,0,0.0,1,11282.693660445182,0
1458.1324375977254,12,5,0,0.0,1,14037.196894661683,2
1189.864146732644,48,2,1,2553.7362328110517,0,0.0,1
825.0598508868476,12,4,1,3650.0414132119085,0,0.0,0
1216.5000410098535,12,2,1,3331.787131223914,0,0.0,1
1115.4340223301774,12,3,0,0.0,0,0.0,0
1261.7211293926925,6,3,1,2922.4382363566497,1,9183.718349090821,2
1456.6348420422567,24,2,0,0.0,0,0.0,0
1990.7050751324412,6,5,0,0.0,1,6783.466784256209,2
1976.08449924423,6,3,0,0.0,1,15416.605257239578,2
1353.0568398582845,48,1,1,728.6886752319292,1,3654.283400362872,2
597.7958688391286,12,1,1,1543.767782087753,1,7746.4071059593225,2
466.7228103169886,48,2,1,2750.991350602444,1,12834.067409842493,2
1136.3103374222042,12,5,0,0.0,1,9339.605387864787,2
197.8742910623318,12,2,0,0.0,1,13627.259790275666,2
1871.9673150211654,48,5,0,0.0,0,0.0,0
1752.5601030445166,4,3,1,3967.548398026394,1,15731.411632237194,2
1649.4547033194465,6,4,1,2773.3364198026184,0,0.0,1
151.87982085285017,24,3,1,4086.0600547632457,0,0.0,0
911.5971715513948,6,3,0,0.0,1,13774.961101847726,2
406.91980779651817,6,5,0,0.0,0,0.0,0
1567.0647933431485,4,5,1,2583.0760140827256,1,13386.861852390324,2
1394.6386229494524,4,5,1,4511.527803751735,0,0.0,1
1525.6746069344142,12,5,0,0.0,0,0.0,0
918.30093380859,12,4,0,0.0,1,16028.860620892292,0
1700.8475773384646,24,1,0,0.0,0,0.0,0
831.6806231951559,4,4,0,0.0,0,0.0,0
293.0610829081927,12,3,0,0.0,0,0.0,0
1298.4495595864144,48,1,1,1412.9005354472015,0,0.0,1
1060.2256747209733,4,5,0,0.0,0,0.0,0
1917.8689432051688,6,4,1,1364.3057224154722,0,0.0,1
